"Бараева Магдалена Аристофановна",,6758387446,675901001,,,20130728,
"Калукин Митрофан Степанович",,7646010893,771401001,,,20121230,
"Жигалина Роза Ивановна",,6758381927,861401001,,,20141222,
"Тонкушин Абрам Алексеевич",,6762006213,592001001,,,20141116,
"Крещенов Махмуд Витальевич",,676402161733,890700000,,,20120513,
"Губский Маврикий ГрЕмельяневич",,6761058360,720403001,,,20131119,
"Нестерова Емельяна Геннадьевна",,7678030645,182700000,"ООО ""СтройХоум""",,20141026,
"Чумиков Аристофан Юрьевич",,675800584020,772101001,,,20120712,
"Севастьянова Милена Алексеевна",,7674330937,246043001,,,20140215,
"Решетова Изольда Валентиновна",40,6754012132,763201001,,,20141110,
"Катаржнова Маргарет Ульяновна",,6759160494,762401001,"ООО ""Своя крепость""",,20130604,
"Трешкин Алексей Игнатьевич",,7671181700,764001001,,,20121207,
"Усманов Михаил Амирович",39,744406606980,709970001,,,20130822,
"Шильникова Маша Степановна",,6761001420,768770001,"ООО ""Урал-Пресс Округ""",,20120528,
"Ботнор Алексей Викторович",,7672144861,767200000,,,20141228,
"Кашина Милена Валентиновна",75,6758409594,143332053,,,20121213,
"Чирков Емельян Аристархович",32,7687009524,761700000,,,20120621,
"Лупашко Емельян Михайлович",53,7678027219,676403002,,,20121015,
"Олифиренко Алевтина Геннадьевна",,7660001058,570200000,,,20120603,
"Мугаллимов Абрам Адипович",,6759162773,767000000,,,20130314,
"Калимуллина Зухра Людвиговна",,6457000573,767201001,,,20121210,
"Чуклуев Петр Витальевич",,6758146063,660101001,,,20140101,
"Тиничев Георгий Алексеевич",,6758386072,767400000,,,20140610,
"Левитан Марина Ульяновна",,7678027081,660701001,"ООО ""Энергопром""",,20150122,
"Рудько Степан Алексеевич",70,7679036946,660900000,"ООО ""УКС""",,20150209,
"Екенина Маша Степановна",,675801064095,700801001,,,20141013,1435
"Артемов Руслан Олегович",,6758232019,594100000,,,20120610,
"Макарова Алевтина Варламовна",80,7670084704,762701001,,,20140821,
"Хорешилов Аристофан Алексеевич",,7673094596,676402001,,,20131004,
"Подшивалов Митрофан Георгевич",,6606021338,762343006,"ЗАО ""РСК ""Уралспецстрой""",,20140817,
"Скнар Геннадий Асланбекович",38,7671418213,583800000,"ООО ""УралТехИс-С""",,20130821,
"Пестерев Роман Георгевич",,7671151778,774301001,"ООО ""Эко-Сервис""",,20141024,
"Балуев Геннадий Ренатович",,7679020128,561043002,"ЗАО АСЦ ""Правобережный""",,20130621,
"Мокерова Анастасия Варламовна",71,7679027518,675902001,,,20131013,
"Самарина Маша Алексеевна",,7670022353,777001001,,,20131212,
"Громова Милена Олеговна",76,7673197915,741700000,,,20130313,
"Нестеров Митрофан Аристархович",85,7686004342,772401001,,,20130719,
"Пименов Алексей Семенович",73,7704270172,561243002,,,20130401,
"Чумакова Эльвира Николаевна",,675800100625,470600000,,,20130119,
"Мотчаный Степан Алексеевич",,7673098757,762343001,,,20140308,
"Баклаева Ксения Геннадьевна",75,7687014348,540601001,,,20140118,1154
"Федосуева Лариса Степановна",81,7672343874,761901001,,,20141012,
"Постнова Юлия Варламовна",,767304555604,519001001,,,20140527,
"Гусятников Аристофан Витальевич",,675205453453,770201001,"ООО ""Промкомплектация""",,20131114,
"Копылов Геннадий Геннадьевич",,6764044782,143332016,"ООО ""Паксервис-Плюс""",,20121010,
"Кривенко Яна Михайловна",,7670278884,763602003,,,20141108,
"Коновалова Галина Ульяновна",42,7679027518,660301001,"ООО ""Холдинг Мир Чистоты""",,20130226,
"Ананьина Надежда Викторовна",,7660131956,709970001,"ООО ""ТЕХНИЧЕСКАЯ КОМПАНИЯ""",,20150223,
"Саломаткина Магдалена Юрьевна",,8907000134,676301001,"ООО ""Уралстройкомплект -1""",,20140422,
"Слабодчик Инга Алексеевна",,6758444895,762701001,,,20130920,
"Хмельков Петр Алексеевич",,7673217181,744701001,"ООО ""ПРО Автоматика""",,20140410,1861
"Багрецов Махмуд Леонидович",,6759159996,768543001,,,20120810,
"Копырин Митрофан Ренатович",,7671333023,720370001,,,20141206,
"Мяло Мария Павловна",,6762055997,222401001,,,20120519,
"Галаганов Юрий Анатольевич",,6758401975,861102005,,,20140603,
"Пак Антонина Андруевна",,766000537802,720201001,,,20130829,
"Бархатова Марина Николаевна",,676203322841,675800000,,,20140916,
"Скоробрещук Роман Ренатович",,7639016277,764800000,"ООО ""Титанум-Тринити""",,20120803,
"Лаврикова Анжелика Аристофановна",,7670400492,183100000,"ЖСК ""Уктус""",,20140113,
"Евстигнуева Надежда Михайловна",,7660124733,860401001,,,20140527,
"Павловских Милена Юрьевна",,7670085610,692431001,"ООО ""Студия СЕ""",,20140615,
"Мылицын Михаил Аристархович",,7671125930,740443001,,,20131101,
"Жданов Роман Валерьевич",,7672264213,141401001,"ООО ""ГЩЗ""",,20140421,
"Тащев Алексей Юрьевич",,7678009259,768701001,,,20140916,
"Вихарев Аристофан Степанович",,7674181690,860206001,,,20120920,
"Компаненко Константин Викторович",,6761005707,143332007,,,20130510,
"Кобелев Аристофан Аристархович",48,660403734312,861402001,"Ефремочкин Дмитрий Михайлович",,20140226,
"Карпушин Вячеслав Игнатьевич",75,7674203199,222401001,,,20150315,
"Багдасарян Артем Алексеевич",,6759115766,720203001,,,20141101,
"Шацкая Емельяна Валерьевна",61,7660076489,183100000,,,20150302,
